date,heure,rang,nb_gagnants,gain_unitaire_eur
24/01/2026,15h,6L,7779,2
24/01/2026,15h,6,39432,1
24/01/2026,15h,0L,86803,1
24/01/2026,16h,10,0,0
24/01/2026,16h,9L,4,1000
24/01/2026,16h,9,14,500
24/01/2026,16h,8L,117,100
24/01/2026,16h,8,533,50
24/01/2026,16h,7L,1359,14
24/01/2026,16h,7,7095,7
24/01/2026,16h,6L,7987,2
24/01/2026,16h,6,40549,1
24/01/2026,16h,0L,88053,1
24/01/2026,17h,10,0,0
24/01/2026,17h,9L,3,1000
24/01/2026,17h,9,21,500
24/01/2026,17h,8L,147,100
24/01/2026,17h,8,734,50
24/01/2026,17h,7L,1654,14
24/01/2026,17h,7,8301,7
24/01/2026,17h,6L,8631,2
24/01/2026,17h,6,43095,1
24/01/2026,17h,0L,92270,1
24/01/2026,18h,10,0,0
24/01/2026,18h,9L,4,1000
24/01/2026,18h,9,19,500
24/01/2026,18h,8L,161,100
24/01/2026,18h,8,712,50
24/01/2026,18h,7L,1762,14
24/01/2026,18h,7,8951,7
24/01/2026,18h,6L,9408,2
24/01/2026,18h,6,47849,1
24/01/2026,18h,0L,96792,1
24/01/2026,19h,10,1,700000
24/01/2026,19h,9L,6,1000
24/01/2026,19h,9,42,500
24/01/2026,19h,8L,265,100
24/01/2026,19h,8,1221,50
24/01/2026,19h,7L,2979,14
24/01/2026,19h,7,15091,7
24/01/2026,19h,6L,15698,2
24/01/2026,19h,6,77149,1
24/01/2026,19h,0L,139694,1
31/01/2026,13h,10,1,100000
31/01/2026,13h,9L,6,1000
31/01/2026,13h,9,29,500
31/01/2026,13h,8L,155,100
31/01/2026,13h,8,773,50
31/01/2026,13h,7L,1749,14
31/01/2026,13h,7,8576,7
31/01/2026,13h,6L,8721,2
31/01/2026,13h,6,43592,1
31/01/2026,13h,0L,86886,1
31/01/2026,14h,10,0,0
31/01/2026,14h,9L,2,1000
31/01/2026,14h,9,19,500
31/01/2026,14h,8L,135,100
31/01/2026,14h,8,649,50
31/01/2026,14h,7L,1544,14
31/01/2026,14h,7,7778,7
31/01/2026,14h,6L,8171,2
31/01/2026,14h,6,40813,1
31/01/2026,14h,0L,78402,1
31/01/2026,15h,10,0,0
31/01/2026,15h,9L,3,1000
31/01/2026,15h,9,30,500
31/01/2026,15h,8L,150,100
31/01/2026,15h,8,614,50
31/01/2026,15h,7L,1513,14
31/01/2026,15h,7,7341,7
31/01/2026,15h,6L,7834,2
31/01/2026,15h,6,38985,1
31/01/2026,15h,0L,82659,1
31/01/2026,16h,10,0,0
31/01/2026,16h,9L,5,1000
31/01/2026,16h,9,16,500
31/01/2026,16h,8L,141,100
31/01/2026,16h,8,707,50
31/01/2026,16h,7L,1775,14
31/01/2026,16h,7,8499,7
31/01/2026,16h,6L,8851,2
31/01/2026,16h,6,44379,1
31/01/2026,16h,0L,83542,1
31/01/2026,17h,10,0,0
31/01/2026,17h,9L,6,1000
31/01/2026,17h,9,29,500
31/01/2026,17h,8L,184,100
31/01/2026,17h,8,878,50
31/01/2026,17h,7L,1839,14
31/01/2026,17h,7,9450,7
31/01/2026,17h,6L,9427,2
31/01/2026,17h,6,46767,1
31/01/2026,17h,0L,87800,1
31/01/2026,18h,10,0,0
31/01/2026,18h,9L,4,1000
31/01/2026,18h,9,11,500
31/01/2026,18h,8L,115,100
31/01/2026,18h,8,604,50
31/01/2026,18h,7L,1422,14
31/01/2026,18h,7,7639,7
31/01/2026,18h,6L,8484,2
31/01/2026,18h,6,43123,1
31/01/2026,18h,0L,95120,1
31/01/2026,19h,10,0,0
31/01/2026,19h,9L,17,1338.8
31/01/2026,19h,9,75,708
31/01/2026,19h,8L,310,177.4
31/01/2026,19h,8,1460,91
31/01/2026,19h,7L,2961,29
31/01/2026,19h,7,14844,16.9
31/01/2026,19h,6L,13863,6.1
31/01/2026,19h,6,69666,3
31/01/2026,19h,0L,130219,1.7
07/02/2026,13h,10,0,0
07/02/2026,13h,9L,4,1000
07/02/2026,13h,9,14,500
07/02/2026,13h,8L,95,100
07/02/2026,13h,8,434,50
07/02/2026,13h,7L,1238,14
07/02/2026,13h,7,6109,7
07/02/2026,13h,6L,7022,2
07/02/2026,13h,6,34831,1
07/02/2026,13h,0L,87205,1
07/02/2026,14h,10,0,0
07/02/2026,14h,9L,5,1000
07/02/2026,14h,9,36,500
07/02/2026,14h,8L,165,100
07/02/2026,14h,8,862,50
07/02/2026,14h,7L,1673,14
07/02/2026,14h,7,7965,7
07/02/2026,14h,6L,7853,2
07/02/2026,14h,6,39057,1
07/02/2026,14h,0L,78029,1
07/02/2026,15h,10,0,0
07/02/2026,15h,9L,3,1000
07/02/2026,15h,9,18,500
07/02/2026,15h,8L,146,100
07/02/2026,15h,8,649,50
07/02/2026,15h,7L,1546,14
07/02/2026,15h,7,7813,7
07/02/2026,15h,6L,7966,2
07/02/2026,15h,6,39775,1
07/02/2026,15h,0L,82132,1
07/02/2026,16h,10,0,0
07/02/2026,16h,9L,3,1000
07/02/2026,16h,9,20,500
07/02/2026,16h,8L,99,100
07/02/2026,16h,8,533,50
07/02/2026,16h,7L,1324,14
07/02/2026,16h,7,6677,7
07/02/2026,16h,6L,7642,2
07/02/2026,16h,6,37902,1
07/02/2026,16h,0L,85598,1
07/02/2026,17h,10,1,500000
07/02/2026,17h,9L,4,1000
07/02/2026,17h,9,20,500
07/02/2026,17h,8L,119,100
07/02/2026,17h,8,613,50
07/02/2026,17h,7L,1577,14
07/02/2026,17h,7,7922,7
07/02/2026,17h,6L,8705,2
07/02/2026,17h,6,43816,1
07/02/2026,17h,0L,88957,1
07/02/2026,18h,10,0,0
07/02/2026,18h,9L,5,1000
07/02/2026,18h,9,22,500
07/02/2026,18h,8L,166,100
07/02/2026,18h,8,844,50
07/02/2026,18h,7L,1882,14
07/02/2026,18h,7,9707,7
07/02/2026,18h,6L,10138,2
07/02/2026,18h,6,49704,1
07/02/2026,18h,0L,88123,1
07/02/2026,19h,10,0,0
07/02/2026,19h,9L,5,1384
07/02/2026,19h,9,27,692.5
07/02/2026,19h,8L,160,150
07/02/2026,19h,8,814,74.5
07/02/2026,19h,7L,2006,21.3
07/02/2026,19h,7,9773,12
07/02/2026,19h,6L,10759,3.8
07/02/2026,19h,6,55018,1.8
07/02/2026,19h,0L,119444,1.2
14/02/2026,13h,10,0,0
14/02/2026,13h,9L,2,1000
14/02/2026,13h,9,11,500
14/02/2026,13h,8L,92,100
14/02/2026,13h,8,499,50
14/02/2026,13h,7L,1204,14
14/02/2026,13h,7,6186,7
14/02/2026,13h,6L,7384,2
14/02/2026,13h,6,37111,1
14/02/2026,13h,0L,91074,1
14/02/2026,14h,10,0,0
14/02/2026,14h,9L,4,1000
14/02/2026,14h,9,28,500
14/02/2026,14h,8L,128,100
14/02/2026,14h,8,632,50
14/02/2026,14h,7L,1324,14
14/02/2026,14h,7,6681,7
14/02/2026,14h,6L,7516,2
14/02/2026,14h,6,37388,1
14/02/2026,14h,0L,80789,1
14/02/2026,15h,10,0,0
14/02/2026,15h,9L,9,1000
14/02/2026,15h,9,18,500
14/02/2026,15h,8L,142,100
14/02/2026,15h,8,717,50
14/02/2026,15h,7L,1570,14
14/02/2026,15h,7,7992,7
14/02/2026,15h,6L,8157,2
14/02/2026,15h,6,40338,1
14/02/2026,15h,0L,83748,1
14/02/2026,16h,10,0,0
14/02/2026,16h,9L,3,1000
14/02/2026,16h,9,18,500
14/02/2026,16h,8L,175,100
14/02/2026,16h,8,846,50
14/02/2026,16h,7L,2040,14
14/02/2026,16h,7,10291,7
14/02/2026,16h,6L,10052,2
14/02/2026,16h,6,50767,1
14/02/2026,16h,0L,83554,1
14/02/2026,17h,10,0,0
14/02/2026,17h,9L,5,1000
14/02/2026,17h,9,42,500
14/02/2026,17h,8L,189,100
14/02/2026,17h,8,886,50
14/02/2026,17h,7L,1970,14
14/02/2026,17h,7,9764,7
14/02/2026,17h,6L,9783,2
14/02/2026,17h,6,49426,1
14/02/2026,17h,0L,89187,1
14/02/2026,18h,10,0,0
14/02/2026,18h,9L,3,1000
14/02/2026,18h,9,23,500
14/02/2026,18h,8L,152,100
14/02/2026,18h,8,672,50
14/02/2026,18h,7L,1558,14
14/02/2026,18h,7,8005,7
14/02/2026,18h,6L,8538,2
14/02/2026,18h,6,43213,1
14/02/2026,18h,0L,96458,1
14/02/2026,19h,10,2,350000
14/02/2026,19h,9L,6,1000
14/02/2026,19h,9,37,500
14/02/2026,19h,8L,213,100
14/02/2026,19h,8,1082,50
14/02/2026,19h,7L,2602,14
14/02/2026,19h,7,12833,7
14/02/2026,19h,6L,13163,2
14/02/2026,19h,6,65425,1
14/02/2026,19h,0L,138355,1
21/02/2026,13h,10,0,0
21/02/2026,13h,9L,4,1000
21/02/2026,13h,9,33,500
21/02/2026,13h,8L,133,100
21/02/2026,13h,8,652,50
21/02/2026,13h,7L,1559,14
21/02/2026,13h,7,7954,7
21/02/2026,13h,6L,8087,2
21/02/2026,13h,6,40666,1
21/02/2026,13h,0L,79540,1
21/02/2026,14h,10,0,0
21/02/2026,14h,9L,1,1000
21/02/2026,14h,9,12,500
21/02/2026,14h,8L,74,100
21/02/2026,14h,8,447,50
21/02/2026,14h,7L,1238,14
21/02/2026,14h,7,5973,7
21/02/2026,14h,6L,6674,2
21/02/2026,14h,6,33829,1
21/02/2026,14h,0L,72674,1
21/02/2026,15h,10,1,300000
21/02/2026,15h,9L,0,0
21/02/2026,15h,9,21,500
21/02/2026,15h,8L,132,100
21/02/2026,15h,8,609,50
21/02/2026,15h,7L,1490,14
21/02/2026,15h,7,7066,7
21/02/2026,15h,6L,7570,2
21/02/2026,15h,6,37204,1
21/02/2026,15h,0L,75491,1
21/02/2026,16h,10,0,0
21/02/2026,16h,9L,2,1000
21/02/2026,16h,9,5,500
21/02/2026,16h,8L,107,100
21/02/2026,16h,8,559,50
21/02/2026,16h,7L,1472,14
21/02/2026,16h,7,7075,7
21/02/2026,16h,6L,7099,2
21/02/2026,16h,6,35640,1
21/02/2026,16h,0L,75973,1
21/02/2026,17h,10,0,0
21/02/2026,17h,9L,3,1000
21/02/2026,17h,9,18,500
21/02/2026,17h,8L,93,100
21/02/2026,17h,8,550,50
21/02/2026,17h,7L,1442,14
21/02/2026,17h,7,6969,7
21/02/2026,17h,6L,7630,2
21/02/2026,17h,6,38073,1
21/02/2026,17h,0L,79408,1
21/02/2026,18h,10,0,0
21/02/2026,18h,9L,2,1000
21/02/2026,18h,9,37,500
21/02/2026,18h,8L,200,100
21/02/2026,18h,8,883,50
21/02/2026,18h,7L,1708,14
21/02/2026,18h,7,9202,7
21/02/2026,18h,6L,8686,2
21/02/2026,18h,6,43327,1
21/02/2026,18h,0L,82115,1
21/02/2026,19h,10,0,0
21/02/2026,19h,9L,7,1548.5
21/02/2026,19h,9,31,835.4
21/02/2026,19h,8L,198,180.8
21/02/2026,19h,8,1004,89.8
21/02/2026,19h,7L,2291,26.9
21/02/2026,19h,7,11051,15.9
21/02/2026,19h,6L,11011,5.5
21/02/2026,19h,6,55479,2.7
21/02/2026,19h,0L,111383,1.5
28/02/2026,13h,10,0,0
28/02/2026,13h,9L,3,1000
28/02/2026,13h,9,17,500
28/02/2026,13h,8L,166,100
28/02/2026,13h,8,776,50
28/02/2026,13h,7L,1698,14
28/02/2026,13h,7,8552,7
28/02/2026,13h,6L,8761,2
28/02/2026,13h,6,42789,1
28/02/2026,13h,0L,78558,1
28/02/2026,14h,10,0,0
28/02/2026,14h,9L,7,1000
28/02/2026,14h,9,11,500
28/02/2026,14h,8L,124,100
28/02/2026,14h,8,595,50
28/02/2026,14h,7L,1150,14
28/02/2026,14h,7,5943,7
28/02/2026,14h,6L,6779,2
28/02/2026,14h,6,33468,1
28/02/2026,14h,0L,73108,1
28/02/2026,15h,10,0,0
28/02/2026,15h,9L,5,1000
28/02/2026,15h,9,14,500
28/02/2026,15h,8L,133,100
28/02/2026,15h,8,615,50
28/02/2026,15h,7L,1544,14
28/02/2026,15h,7,7871,7
28/02/2026,15h,6L,8499,2
28/02/2026,15h,6,41317,1
28/02/2026,15h,0L,75396,1
28/02/2026,16h,10,0,0
28/02/2026,16h,9L,6,1000
28/02/2026,16h,9,27,500
28/02/2026,16h,8L,140,100
28/02/2026,16h,8,743,50
28/02/2026,16h,7L,1537,14
28/02/2026,16h,7,7750,7
28/02/2026,16h,6L,7885,2
28/02/2026,16h,6,38755,1
28/02/2026,16h,0L,79021,1
28/02/2026,17h,10,0,0
28/02/2026,17h,9L,4,1000
28/02/2026,17h,9,16,500
28/02/2026,17h,8L,130,100
28/02/2026,17h,8,566,50
28/02/2026,17h,7L,1449,14
28/02/2026,17h,7,7199,7
28/02/2026,17h,6L,7962,2
28/02/2026,17h,6,39480,1
28/02/2026,17h,0L,83405,1
28/02/2026,18h,10,0,0
28/02/2026,18h,9L,4,1000
28/02/2026,18h,9,15,500
28/02/2026,18h,8L,96,100
28/02/2026,18h,8,503,50
28/02/2026,18h,7L,1297,14
28/02/2026,18h,7,6313,7
28/02/2026,18h,6L,7412,2
28/02/2026,18h,6,36693,1
28/02/2026,18h,0L,88723,1
28/02/2026,19h,10,0,0
28/02/2026,19h,9L,7,1960
28/02/2026,19h,9,32,1068.7
28/02/2026,19h,8L,192,245.8
28/02/2026,19h,8,1033,117.7
28/02/2026,19h,7L,2254,37
28/02/2026,19h,7,11540,21.9
28/02/2026,19h,6L,12163,7.5
28/02/2026,19h,6,60620,3.8
28/02/2026,19h,0L,126935,1.9
07/03/2026,13h,10,0,0
07/03/2026,13h,9L,2,1000
07/03/2026,13h,9,17,500
07/03/2026,13h,8L,95,100
07/03/2026,13h,8,493,50
07/03/2026,13h,7L,1360,14
07/03/2026,13h,7,6656,7
07/03/2026,13h,6L,8143,2
07/03/2026,13h,6,39897,1
07/03/2026,13h,0L,88434,1
07/03/2026,14h,10,0,0
07/03/2026,14h,9L,2,1000
07/03/2026,14h,9,11,500
07/03/2026,14h,8L,83,100
07/03/2026,14h,8,355,50
07/03/2026,14h,7L,1044,14
07/03/2026,14h,7,5128,7
07/03/2026,14h,6L,6142,2
07/03/2026,14h,6,31310,1
07/03/2026,14h,0L,76698,1
07/03/2026,15h,10,0,0
07/03/2026,15h,9L,5,1000
07/03/2026,15h,9,21,500
07/03/2026,15h,8L,161,100
07/03/2026,15h,8,764,50
07/03/2026,15h,7L,1781,14
07/03/2026,15h,7,8756,7
07/03/2026,15h,6L,8794,2
07/03/2026,15h,6,44178,1
07/03/2026,15h,0L,77032,1
07/03/2026,16h,10,0,0
07/03/2026,16h,9L,5,1000
07/03/2026,16h,9,17,500
07/03/2026,16h,8L,117,100
07/03/2026,16h,8,573,50
07/03/2026,16h,7L,1475,14
07/03/2026,16h,7,7338,7
07/03/2026,16h,6L,8063,2
07/03/2026,16h,6,40481,1
07/03/2026,16h,0L,80522,1
07/03/2026,17h,10,0,0
07/03/2026,17h,9L,4,1000
07/03/2026,17h,9,9,500
07/03/2026,17h,8L,101,100
07/03/2026,17h,8,494,50
07/03/2026,17h,7L,1135,14
07/03/2026,17h,7,6036,7
07/03/2026,17h,6L,7051,2
07/03/2026,17h,6,35048,1
07/03/2026,17h,0L,86017,1
07/03/2026,18h,10,0,0
07/03/2026,18h,9L,1,1000
07/03/2026,18h,9,10,500
07/03/2026,18h,8L,97,100
07/03/2026,18h,8,510,50
07/03/2026,18h,7L,1233,14
07/03/2026,18h,7,6159,7
07/03/2026,18h,6L,7263,2
07/03/2026,18h,6,35807,1
07/03/2026,18h,0L,91365,1
07/03/2026,19h,10,0,0
07/03/2026,19h,9L,8,1840
07/03/2026,19h,9,27,1174
07/03/2026,19h,8L,194,244.3
07/03/2026,19h,8,1008,119.4
07/03/2026,19h,7L,2418,35.4
07/03/2026,19h,7,12643,20.6
07/03/2026,19h,6L,13373,7
07/03/2026,19h,6,66762,3.5
07/03/2026,19h,0L,134136,1.8
14/03/2026,13h,10,0,0
14/03/2026,13h,9L,6,1000
14/03/2026,13h,9,21,500
14/03/2026,13h,8L,128,100
14/03/2026,13h,8,691,50
14/03/2026,13h,7L,1671,14
14/03/2026,13h,7,8154,7
14/03/2026,13h,6L,8903,2
14/03/2026,13h,6,44090,1
14/03/2026,13h,0L,97859,1
14/03/2026,14h,10,0,0
14/03/2026,14h,9L,1,1000
14/03/2026,14h,9,12,500
14/03/2026,14h,8L,134,100
14/03/2026,14h,8,698,50
14/03/2026,14h,7L,1687,14
14/03/2026,14h,7,8184,7
14/03/2026,14h,6L,8513,2
14/03/2026,14h,6,41704,1
14/03/2026,14h,0L,79292,1
14/03/2026,15h,10,0,0
14/03/2026,15h,9L,5,1000
14/03/2026,15h,9,24,500
14/03/2026,15h,8L,133,100
14/03/2026,15h,8,627,50
14/03/2026,15h,7L,1665,14
14/03/2026,15h,7,8050,7
14/03/2026,15h,6L,8309,2
14/03/2026,15h,6,41101,1
14/03/2026,15h,0L,83866,1
14/03/2026,16h,10,0,0
14/03/2026,16h,9L,4,1000
14/03/2026,16h,9,9,500
14/03/2026,16h,8L,155,100
14/03/2026,16h,8,568,50
14/03/2026,16h,7L,1392,14
14/03/2026,16h,7,6704,7
14/03/2026,16h,6L,7463,2
14/03/2026,16h,6,38118,1
14/03/2026,16h,0L,86191,1
14/03/2026,17h,10,0,0
14/03/2026,17h,9L,5,1000
14/03/2026,17h,9,17,500
14/03/2026,17h,8L,75,100
14/03/2026,17h,8,534,50
14/03/2026,17h,7L,1337,14
14/03/2026,17h,7,6741,7
14/03/2026,17h,6L,7995,2
14/03/2026,17h,6,39171,1
14/03/2026,17h,0L,89537,1
14/03/2026,18h,10,0,0
14/03/2026,18h,9L,4,1000
14/03/2026,18h,9,19,500
14/03/2026,18h,8L,138,100
14/03/2026,18h,8,777,50
14/03/2026,18h,7L,1753,14
14/03/2026,18h,7,9174,7
14/03/2026,18h,6L,9443,2
14/03/2026,18h,6,47544,1
14/03/2026,18h,0L,93644,1
14/03/2026,19h,10,0,0
14/03/2026,19h,9L,12,1560
14/03/2026,19h,9,56,825
14/03/2026,19h,8L,198,241.4
14/03/2026,19h,8,1037,117.5
14/03/2026,19h,7L,2562,34.2
14/03/2026,19h,7,12529,20.7
14/03/2026,19h,6L,13916,6.8
14/03/2026,19h,6,68396,3.4
14/03/2026,19h,0L,142894,1.8
21/03/2026,13h,10,1,100000
21/03/2026,13h,9L,3,1000
21/03/2026,13h,9,24,500
21/03/2026,13h,8L,157,100
21/03/2026,13h,8,704,50
21/03/2026,13h,7L,1531,14
21/03/2026,13h,7,8195,7
21/03/2026,13h,6L,8206,2
21/03/2026,13h,6,41255,1
21/03/2026,13h,0L,86926,1
21/03/2026,14h,10,0,0
21/03/2026,14h,9L,2,1000
21/03/2026,14h,9,19,500
21/03/2026,14h,8L,103,100
21/03/2026,14h,8,563,50
21/03/2026,14h,7L,1296,14
21/03/2026,14h,7,6520,7
21/03/2026,14h,6L,7224,2
21/03/2026,14h,6,35898,1
21/03/2026,14h,0L,75646,1
21/03/2026,15h,10,0,0
21/03/2026,15h,9L,2,1000
21/03/2026,15h,9,18,500
21/03/2026,15h,8L,100,100
21/03/2026,15h,8,558,50
21/03/2026,15h,7L,1416,14
21/03/2026,15h,7,6957,7
21/03/2026,15h,6L,8031,2
21/03/2026,15h,6,40242,1
21/03/2026,15h,0L,78719,1
21/03/2026,16h,10,0,0
21/03/2026,16h,9L,2,1000
21/03/2026,16h,9,16,500
21/03/2026,16h,8L,87,100
21/03/2026,16h,8,460,50
21/03/2026,16h,7L,1285,14
21/03/2026,16h,7,6599,7
21/03/2026,16h,6L,7710,2
21/03/2026,16h,6,38305,1
21/03/2026,16h,0L,81895,1
21/03/2026,17h,10,0,0
21/03/2026,17h,9L,6,1000
21/03/2026,17h,9,44,500
21/03/2026,17h,8L,203,100
21/03/2026,17h,8,956,50
21/03/2026,17h,7L,1849,14
21/03/2026,17h,7,9416,7
21/03/2026,17h,6L,8775,2
21/03/2026,17h,6,43889,1
21/03/2026,17h,0L,84617,1
21/03/2026,18h,10,0,0
21/03/2026,18h,9L,10,1000
21/03/2026,18h,9,14,500
21/03/2026,18h,8L,153,100
21/03/2026,18h,8,685,50
21/03/2026,18h,7L,1764,14
21/03/2026,18h,7,8172,7
21/03/2026,18h,6L,8936,2
21/03/2026,18h,6,44021,1
21/03/2026,18h,0L,90549,1
21/03/2026,19h,10,0,0
21/03/2026,19h,9L,4,2440
21/03/2026,19h,9,22,1209
21/03/2026,19h,8L,216,211.1
21/03/2026,19h,8,960,112.5
21/03/2026,19h,7L,2185,34.3
21/03/2026,19h,7,10655,20.8
21/03/2026,19h,6L,11808,6.9
21/03/2026,19h,6,58808,3.4
21/03/2026,19h,0L,143016,1.6
28/03/2026,13h,10,0,0
28/03/2026,13h,9L,2,1000
28/03/2026,13h,9,29,500
28/03/2026,13h,8L,191,100
28/03/2026,13h,8,816,50
28/03/2026,13h,7L,1822,14
28/03/2026,13h,7,9014,7
28/03/2026,13h,6L,9092,2
28/03/2026,13h,6,45932,1
28/03/2026,13h,0L,93199,1
28/03/2026,14h,10,1,200000
28/03/2026,14h,9L,4,1000
28/03/2026,14h,9,12,500
28/03/2026,14h,8L,127,100
28/03/2026,14h,8,648,50
28/03/2026,14h,7L,1599,14
28/03/2026,14h,7,8121,7
28/03/2026,14h,6L,8523,2
28/03/2026,14h,6,42168,1
28/03/2026,14h,0L,82605,1
28/03/2026,15h,10,0,0
28/03/2026,15h,9L,6,1000
28/03/2026,15h,9,26,500
28/03/2026,15h,8L,177,100
28/03/2026,15h,8,774,50
28/03/2026,15h,7L,1649,14
28/03/2026,15h,7,8389,7
28/03/2026,15h,6L,8414,2
28/03/2026,15h,6,42368,1
28/03/2026,15h,0L,85162,1
28/03/2026,16h,10,0,0
28/03/2026,16h,9L,5,1000
28/03/2026,16h,9,30,500
28/03/2026,16h,8L,153,100
28/03/2026,16h,8,653,50
28/03/2026,16h,7L,1646,14
28/03/2026,16h,7,8290,7
28/03/2026,16h,6L,8557,2
28/03/2026,16h,6,42565,1
28/03/2026,16h,0L,87273,1
28/03/2026,17h,10,0,0
28/03/2026,17h,9L,1,1000
28/03/2026,17h,9,19,500
28/03/2026,17h,8L,122,100
28/03/2026,17h,8,589,50
28/03/2026,17h,7L,1532,14
28/03/2026,17h,7,7777,7
28/03/2026,17h,6L,8477,2
28/03/2026,17h,6,42812,1
28/03/2026,17h,0L,91885,1
28/03/2026,18h,10,0,0
28/03/2026,18h,9L,5,1000
28/03/2026,18h,9,16,500
28/03/2026,18h,8L,131,100
28/03/2026,18h,8,630,50
28/03/2026,18h,7L,1685,14
28/03/2026,18h,7,8422,7
28/03/2026,18h,6L,9132,2
28/03/2026,18h,6,45781,1
28/03/2026,18h,0L,97144,1
28/03/2026,19h,10,0,0
28/03/2026,19h,9L,12,1400
28/03/2026,19h,9,27,981.4
28/03/2026,19h,8L,244,181.9
28/03/2026,19h,8,1128,94.3
28/03/2026,19h,7L,2613,28.1
28/03/2026,19h,7,13504,16.1
28/03/2026,19h,6L,14457,5.3
28/03/2026,19h,6,71649,2.6
28/03/2026,19h,0L,149689,1.5
04/04/2026,13h,10,0,0
04/04/2026,13h,9L,6,1000
04/04/2026,13h,9,19,500
04/04/2026,13h,8L,127,100
04/04/2026,13h,8,504,50
04/04/2026,13h,7L,1280,14
04/04/2026,13h,7,6292,7
04/04/2026,13h,6L,7456,2
04/04/2026,13h,6,37331,1
04/04/2026,13h,0L,82749,1
04/04/2026,14h,10,0,0
04/04/2026,14h,9L,2,1000
04/04/2026,14h,9,22,500
04/04/2026,14h,8L,130,100
04/04/2026,14h,8,666,50
04/04/2026,14h,7L,1603,14
04/04/2026,14h,7,7841,7
04/04/2026,14h,6L,7590,2
04/04/2026,14h,6,38375,1
04/04/2026,14h,0L,74180,1
04/04/2026,15h,10,0,0
04/04/2026,15h,9L,9,1000
04/04/2026,15h,9,59,500
04/04/2026,15h,8L,205,100
04/04/2026,15h,8,980,50
04/04/2026,15h,7L,1597,14
04/04/2026,15h,7,8222,7
04/04/2026,15h,6L,7564,2
04/04/2026,15h,6,38435,1
04/04/2026,15h,0L,77600,1
04/04/2026,16h,10,0,0
04/04/2026,16h,9L,3,1000
04/04/2026,16h,9,25,500
04/04/2026,16h,8L,161,100
04/04/2026,16h,8,788,50
04/04/2026,16h,7L,1670,14
04/04/2026,16h,7,8297,7
04/04/2026,16h,6L,8141,2
04/04/2026,16h,6,40950,1
04/04/2026,16h,0L,79140,1
04/04/2026,17h,10,0,0
04/04/2026,17h,9L,11,1000
04/04/2026,17h,9,54,500
04/04/2026,17h,8L,131,100
04/04/2026,17h,8,623,50
04/04/2026,17h,7L,1197,14
04/04/2026,17h,7,5867,7
04/04/2026,17h,6L,6873,2
04/04/2026,17h,6,34109,1
04/04/2026,17h,0L,84925,1
04/04/2026,18h,10,0,0
04/04/2026,18h,9L,3,1000
04/04/2026,18h,9,26,500
04/04/2026,18h,8L,119,100
04/04/2026,18h,8,695,50
04/04/2026,18h,7L,1683,14
04/04/2026,18h,7,8537,7
04/04/2026,18h,6L,9200,2
04/04/2026,18h,6,46631,1
04/04/2026,18h,0L,88659,1
04/04/2026,19h,10,1,700000
04/04/2026,19h,9L,1,1000
04/04/2026,19h,9,36,500
04/04/2026,19h,8L,185,100
04/04/2026,19h,8,965,50
04/04/2026,19h,7L,2542,14
04/04/2026,19h,7,12624,7
04/04/2026,19h,6L,13726,2
04/04/2026,19h,6,68664,1
04/04/2026,19h,0L,147655,1
11/04/2026,13h,10,0,0
11/04/2026,13h,9L,5,1000
11/04/2026,13h,9,22,500
11/04/2026,13h,8L,155,100
11/04/2026,13h,8,746,50
11/04/2026,13h,7L,1679,14
11/04/2026,13h,7,8113,7
11/04/2026,13h,6L,8032,2
11/04/2026,13h,6,40137,1
11/04/2026,13h,0L,81861,1
11/04/2026,14h,10,0,0
11/04/2026,14h,9L,0,0
11/04/2026,14h,9,15,500
11/04/2026,14h,8L,89,100
11/04/2026,14h,8,354,50
11/04/2026,14h,7L,1118,14
11/04/2026,14h,7,5395,7
11/04/2026,14h,6L,6522,2
11/04/2026,14h,6,31809,1
11/04/2026,14h,0L,72452,1
11/04/2026,15h,10,1,300000
11/04/2026,15h,9L,1,1000
11/04/2026,15h,9,24,500
11/04/2026,15h,8L,121,100
11/04/2026,15h,8,650,50
11/04/2026,15h,7L,1615,14
11/04/2026,15h,7,8210,7
11/04/2026,15h,6L,8309,2
11/04/2026,15h,6,41277,1
11/04/2026,15h,0L,73360,1
11/04/2026,16h,10,0,0
11/04/2026,16h,9L,2,1000
11/04/2026,16h,9,26,500
11/04/2026,16h,8L,131,100
11/04/2026,16h,8,686,50
11/04/2026,16h,7L,1480,14
11/04/2026,16h,7,7587,7
11/04/2026,16h,6L,7573,2
11/04/2026,16h,6,38363,1
11/04/2026,16h,0L,74521,1
11/04/2026,17h,10,0,0
11/04/2026,17h,9L,1,1000
11/04/2026,17h,9,15,500
11/04/2026,17h,8L,119,100
11/04/2026,17h,8,613,50
11/04/2026,17h,7L,1454,14
11/04/2026,17h,7,7406,7
11/04/2026,17h,6L,7795,2
11/04/2026,17h,6,38666,1
11/04/2026,17h,0L,77853,1
11/04/2026,18h,10,0,0
11/04/2026,18h,9L,5,1000
11/04/2026,18h,9,15,500
11/04/2026,18h,8L,104,100
11/04/2026,18h,8,601,50
11/04/2026,18h,7L,1454,14
11/04/2026,18h,7,7179,7
11/04/2026,18h,6L,7449,2
11/04/2026,18h,6,37981,1
11/04/2026,18h,0L,83259,1
11/04/2026,19h,10,0,0
11/04/2026,19h,9L,4,1960
11/04/2026,19h,9,26,900
11/04/2026,19h,8L,180,188.8
11/04/2026,19h,8,926,93.1
11/04/2026,19h,7L,2143,27.8
