date,heure,rang,nb_gagnants,gain_unitaire_eur
22/11/2025,17h,8,1022,50
22/11/2025,17h,7L,2404,14
22/11/2025,17h,7,12021,7
22/11/2025,17h,6L,12356,2
22/11/2025,17h,6,62392,1
22/11/2025,17h,0L,122431,1
22/11/2025,18h,10,1,300000
22/11/2025,18h,9L,10,1000
22/11/2025,18h,9,52,500
22/11/2025,18h,8L,296,100
22/11/2025,18h,8,1396,50
22/11/2025,18h,7L,2649,14
22/11/2025,18h,7,13448,7
22/11/2025,18h,6L,12833,2
22/11/2025,18h,6,62718,1
22/11/2025,18h,0L,127012,1
22/11/2025,19h,10,0,0
22/11/2025,19h,9L,5,1192
22/11/2025,19h,9,30,586.6
22/11/2025,19h,8L,222,118
22/11/2025,19h,8,1019,59.8
22/11/2025,19h,7L,2444,17
22/11/2025,19h,7,12970,8.8
22/11/2025,19h,6L,14594,2.6
22/11/2025,19h,6,73928,1.3
22/11/2025,19h,0L,162448,1.1
29/11/2025,13h,10,0,0
29/11/2025,13h,9L,7,1000
29/11/2025,13h,9,24,500
29/11/2025,13h,8L,177,100
29/11/2025,13h,8,919,50
29/11/2025,13h,7L,2260,14
29/11/2025,13h,7,11651,7
29/11/2025,13h,6L,12310,2
29/11/2025,13h,6,61991,1
29/11/2025,13h,0L,124925,1
29/11/2025,14h,10,0,0
29/11/2025,14h,9L,7,1000
29/11/2025,14h,9,52,500
29/11/2025,14h,8L,212,100
29/11/2025,14h,8,977,50
29/11/2025,14h,7L,2190,14
29/11/2025,14h,7,10667,7
29/11/2025,14h,6L,10639,2
29/11/2025,14h,6,53681,1
29/11/2025,14h,0L,110836,1
29/11/2025,15h,10,0,0
29/11/2025,15h,9L,13,1000
29/11/2025,15h,9,58,500
29/11/2025,15h,8L,234,100
29/11/2025,15h,8,1202,50
29/11/2025,15h,7L,2374,14
29/11/2025,15h,7,12006,7
29/11/2025,15h,6L,11630,2
29/11/2025,15h,6,58444,1
29/11/2025,15h,0L,115266,1
29/11/2025,16h,10,0,0
29/11/2025,16h,9L,8,1000
29/11/2025,16h,9,26,500
29/11/2025,16h,8L,187,100
29/11/2025,16h,8,962,50
29/11/2025,16h,7L,2277,14
29/11/2025,16h,7,11571,7
29/11/2025,16h,6L,11817,2
29/11/2025,16h,6,59638,1
29/11/2025,16h,0L,116904,1
29/11/2025,17h,10,1,500000
29/11/2025,17h,9L,11,1000
29/11/2025,17h,9,36,500
29/11/2025,17h,8L,203,100
29/11/2025,17h,8,1079,50
29/11/2025,17h,7L,2437,14
29/11/2025,17h,7,12237,7
29/11/2025,17h,6L,12594,2
29/11/2025,17h,6,62833,1
29/11/2025,17h,0L,120433,1
29/11/2025,18h,10,0,0
29/11/2025,18h,9L,6,1000
29/11/2025,18h,9,21,500
29/11/2025,18h,8L,161,100
29/11/2025,18h,8,755,50
29/11/2025,18h,7L,1952,14
29/11/2025,18h,7,9806,7
29/11/2025,18h,6L,11138,2
29/11/2025,18h,6,55317,1
29/11/2025,18h,0L,123527,1
29/11/2025,19h,10,0,0
29/11/2025,19h,9L,6,1320
29/11/2025,19h,9,37,640.5
29/11/2025,19h,8L,195,141
29/11/2025,19h,8,964,70.7
29/11/2025,19h,7L,2417,20.1
29/11/2025,19h,7,12351,10.9
29/11/2025,19h,6L,13880,3.3
29/11/2025,19h,6,68922,1.7
29/11/2025,19h,0L,156075,1.2
06/12/2025,13h,10,0,0
