date,heure,rang,nb_gagnants,gain_unitaire_eur,gain_total_eur
14/03/2026,18h,8,777,50,38850
14/03/2026,18h,7L,1753,14,24542
14/03/2026,18h,7,9174,7,64218
14/03/2026,18h,6L,9443,2,18886
14/03/2026,18h,6,47544,1,47544
14/03/2026,18h,0L,93644,1,93644
14/03/2026,19h,10,0,0,0
14/03/2026,19h,9L,12,1560,18720
14/03/2026,19h,9,56,825,46200
14/03/2026,19h,8L,198,241.4,47797.2
14/03/2026,19h,8,1037,117.5,121847.5
14/03/2026,19h,7L,2562,34.2,87620.4
14/03/2026,19h,7,12529,20.7,259350.3
14/03/2026,19h,6L,13916,6.8,94628.8
14/03/2026,19h,6,68396,3.4,232546.4
14/03/2026,19h,0L,142894,1.8,257209.2
21/03/2026,13h,10,1,100000,100000
21/03/2026,13h,9L,3,1000,3000
21/03/2026,13h,9,24,500,12000
21/03/2026,13h,8L,157,100,15700
21/03/2026,13h,8,704,50,35200
21/03/2026,13h,7L,1531,14,21434
21/03/2026,13h,7,8195,7,57365
21/03/2026,13h,6L,8206,2,16412
21/03/2026,13h,6,41255,1,41255
21/03/2026,13h,0L,86926,1,86926
21/03/2026,14h,10,0,0,0
21/03/2026,14h,9L,2,1000,2000
21/03/2026,14h,9,19,500,9500
21/03/2026,14h,8L,103,100,10300
21/03/2026,14h,8,563,50,28150
21/03/2026,14h,7L,1296,14,18144
21/03/2026,14h,7,6520,7,45640
21/03/2026,14h,6L,7224,2,14448
21/03/2026,14h,6,35898,1,35898
21/03/2026,14h,0L,75646,1,75646
21/03/2026,15h,10,0,0,0
21/03/2026,15h,9L,2,1000,2000
21/03/2026,15h,9,18,500,9000
21/03/2026,15h,8L,100,100,10000
21/03/2026,15h,8,558,50,27900
21/03/2026,15h,7L,1416,14,19824
21/03/2026,15h,7,6957,7,48699
21/03/2026,15h,6L,8031,2,16062
21/03/2026,15h,6,40242,1,40242
21/03/2026,15h,0L,78719,1,78719
21/03/2026,16h,10,0,0,0
21/03/2026,16h,9L,2,1000,2000
21/03/2026,16h,9,16,500,8000
21/03/2026,16h,8L,87,100,8700
21/03/2026,16h,8,460,50,23000
21/03/2026,16h,7L,1285,14,17990
21/03/2026,16h,7,6599,7,46193
21/03/2026,16h,6L,7710,2,15420
21/03/2026,16h,6,38305,1,38305
21/03/2026,16h,0L,81895,1,81895
21/03/2026,17h,10,0,0,0
21/03/2026,17h,9L,6,1000,6000
21/03/2026,17h,9,44,500,22000
21/03/2026,17h,8L,203,100,20300
21/03/2026,17h,8,956,50,47800
21/03/2026,17h,7L,1849,14,25886
21/03/2026,17h,7,9416,7,65912
21/03/2026,17h,6L,8775,2,17550
21/03/2026,17h,6,43889,1,43889
21/03/2026,17h,0L,84617,1,84617
21/03/2026,18h,10,0,0,0
21/03/2026,18h,9L,10,1000,10000
21/03/2026,18h,9,14,500,7000
21/03/2026,18h,8L,153,100,15300
21/03/2026,18h,8,685,50,34250
21/03/2026,18h,7L,1764,14,24696
21/03/2026,18h,7,8172,7,57204
21/03/2026,18h,6L,8936,2,17872
21/03/2026,18h,6,44021,1,44021
21/03/2026,18h,0L,90549,1,90549
21/03/2026,19h,10,0,0,0
21/03/2026,19h,9L,4,2440,9760
21/03/2026,19h,9,22,1209,26598
21/03/2026,19h,8L,216,211.1,45597.6
21/03/2026,19h,8,960,112.5,108000
21/03/2026,19h,7L,2185,34.3,74945.5
21/03/2026,19h,7,10655,20.8,221624
21/03/2026,19h,6L,11808,6.9,81475.2
21/03/2026,19h,6,58808,3.4,199947.2
21/03/2026,19h,0L,143016,1.6,228825.6
28/03/2026,13h,10,0,0,0
28/03/2026,13h,9L,2,1000,2000
28/03/2026,13h,9,29,500,14500
28/03/2026,13h,8L,191,100,19100
28/03/2026,13h,8,816,50,40800
28/03/2026,13h,7L,1822,14,25508
28/03/2026,13h,7,9014,7,63098
28/03/2026,13h,6L,9092,2,18184
28/03/2026,13h,6,45932,1,45932
28/03/2026,13h,0L,93199,1,93199
28/03/2026,14h,10,1,200000,200000
28/03/2026,14h,9L,4,1000,4000
28/03/2026,14h,9,12,500,6000
28/03/2026,14h,8L,127,100,12700
28/03/2026,14h,8,648,50,32400
28/03/2026,14h,7L,1599,14,22386
28/03/2026,14h,7,8121,7,56847
28/03/2026,14h,6L,8523,2,17046
28/03/2026,14h,6,42168,1,42168
28/03/2026,14h,0L,82605,1,82605
28/03/2026,15h,10,0,0,0
28/03/2026,15h,9L,6,1000,6000
28/03/2026,15h,9,26,500,13000
28/03/2026,15h,8L,177,100,17700
28/03/2026,15h,8,774,50,38700
28/03/2026,15h,7L,1649,14,23086
28/03/2026,15h,7,8389,7,58723
28/03/2026,15h,6L,8414,2,16828
28/03/2026,15h,6,42368,1,42368
28/03/2026,15h,0L,85162,1,85162
28/03/2026,16h,10,0,0,0
28/03/2026,16h,9L,5,1000,5000
28/03/2026,16h,9,30,500,15000
28/03/2026,16h,8L,153,100,15300
28/03/2026,16h,8,653,50,32650
28/03/2026,16h,7L,1646,14,23044
28/03/2026,16h,7,8290,7,58030
28/03/2026,16h,6L,8557,2,17114
28/03/2026,16h,6,42565,1,42565
28/03/2026,16h,0L,87273,1,87273
28/03/2026,17h,10,0,0,0
28/03/2026,17h,9L,1,1000,1000
28/03/2026,17h,9,19,500,9500
28/03/2026,17h,8L,122,100,12200
28/03/2026,17h,8,589,50,29450
28/03/2026,17h,7L,1532,14,21448
28/03/2026,17h,7,7777,7,54439
28/03/2026,17h,6L,8477,2,16954
28/03/2026,17h,6,42812,1,42812
28/03/2026,17h,0L,91885,1,91885
28/03/2026,18h,10,0,0,0
28/03/2026,18h,9L,5,1000,5000
28/03/2026,18h,9,16,500,8000
28/03/2026,18h,8L,131,100,13100
28/03/2026,18h,8,630,50,31500
28/03/2026,18h,7L,1685,14,23590
28/03/2026,18h,7,8422,7,58954
28/03/2026,18h,6L,9132,2,18264
28/03/2026,18h,6,45781,1,45781
28/03/2026,18h,0L,97144,1,97144
28/03/2026,19h,10,0,0,0
28/03/2026,19h,9L,12,1400,16800
28/03/2026,19h,9,27,981.4,26497.8
28/03/2026,19h,8L,244,181.9,44383.6
28/03/2026,19h,8,1128,94.3,106370.4
28/03/2026,19h,7L,2613,28.1,73425.3
28/03/2026,19h,7,13504,16.1,217414.4
28/03/2026,19h,6L,14457,5.3,76622.1
28/03/2026,19h,6,71649,2.6,186287.4
28/03/2026,19h,0L,149689,1.5,224533.5
04/04/2026,13h,10,0,0,0
04/04/2026,13h,9L,6,1000,6000
04/04/2026,13h,9,19,500,9500
04/04/2026,13h,8L,127,100,12700
04/04/2026,13h,8,504,50,25200
04/04/2026,13h,7L,1280,14,17920
04/04/2026,13h,7,6292,7,44044
04/04/2026,13h,6L,7456,2,14912
04/04/2026,13h,6,37331,1,37331
04/04/2026,13h,0L,82749,1,82749
04/04/2026,14h,10,0,0,0
04/04/2026,14h,9L,2,1000,2000
04/04/2026,14h,9,22,500,11000
04/04/2026,14h,8L,130,100,13000
04/04/2026,14h,8,666,50,33300
04/04/2026,14h,7L,1603,14,22442
04/04/2026,14h,7,7841,7,54887
04/04/2026,14h,6L,7590,2,15180
04/04/2026,14h,6,38375,1,38375
04/04/2026,14h,0L,74180,1,74180
04/04/2026,15h,10,0,0,0
04/04/2026,15h,9L,9,1000,9000
04/04/2026,15h,9,59,500,29500
04/04/2026,15h,8L,205,100,20500
04/04/2026,15h,8,980,50,49000
04/04/2026,15h,7L,1597,14,22358
04/04/2026,15h,7,8222,7,57554
04/04/2026,15h,6L,7564,2,15128
04/04/2026,15h,6,38435,1,38435
04/04/2026,15h,0L,77600,1,77600
04/04/2026,16h,10,0,0,0
04/04/2026,16h,9L,3,1000,3000
04/04/2026,16h,9,25,500,12500
04/04/2026,16h,8L,161,100,16100
04/04/2026,16h,8,788,50,39400
04/04/2026,16h,7L,1670,14,23380
04/04/2026,16h,7,8297,7,58079
04/04/2026,16h,6L,8141,2,16282
04/04/2026,16h,6,40950,1,40950
04/04/2026,16h,0L,79140,1,79140
04/04/2026,17h,10,0,0,0
04/04/2026,17h,9L,11,1000,11000
04/04/2026,17h,9,54,500,27000
04/04/2026,17h,8L,131,100,13100
04/04/2026,17h,8,623,50,31150
04/04/2026,17h,7L,1197,14,16758
04/04/2026,17h,7,5867,7,41069
04/04/2026,17h,6L,6873,2,13746
04/04/2026,17h,6,34109,1,34109
04/04/2026,17h,0L,84925,1,84925
04/04/2026,18h,10,0,0,0
